epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,1118.62,2.48652,1.92406,2.61203,0.00766,0.15385,0.00486,0.00238,3.29753,3.95394,4.26134,0.0009308,0.0009308,0.0009308
110,1133.13,2.42609,2.03066,2.79148,0.00766,0.15385,0.00486,0.00238,3.29753,3.95394,4.26134,0.0009209,0.0009209,0.0009209
111,1138.45,2.31328,1.93357,2.58941,0.00766,0.15385,0.00486,0.00238,3.29753,3.95394,4.26134,0.000911,0.000911,0.000911
112,1147.71,2.3646,2.11447,2.68563,0.00408,0.15385,0.00257,0.00137,3.29389,3.95518,4.25274,0.0009011,0.0009011,0.0009011
113,1158.2,2.42077,2.03672,2.77282,0.00408,0.15385,0.00257,0.00137,3.29389,3.95518,4.25274,0.0008912,0.0008912,0.0008912
114,1164.64,2.50449,2.64334,2.69824,0.00408,0.15385,0.00257,0.00137,3.29389,3.95518,4.25274,0.0008813,0.0008813,0.0008813
115,1174.35,2.20312,2.10338,2.68963,0.00408,0.15385,0.00257,0.00137,3.29389,3.95518,4.25274,0.0008714,0.0008714,0.0008714
116,1181.18,2.41591,2.12198,2.65934,0.00245,0.15385,0.00182,0.00084,3.29101,3.96446,4.2443,0.0008615,0.0008615,0.0008615
117,1192.08,2.38809,1.90234,2.62866,0.00245,0.15385,0.00182,0.00084,3.29101,3.96446,4.2443,0.0008516,0.0008516,0.0008516
118,1200.65,2.19504,2.08531,2.71908,0.00245,0.15385,0.00182,0.00084,3.29101,3.96446,4.2443,0.0008417,0.0008417,0.0008417
119,1206.05,2.26153,1.99977,2.68246,0.00245,0.15385,0.00182,0.00084,3.29101,3.96446,4.2443,0.0008318,0.0008318,0.0008318
120,1217.77,2.5692,2.34987,2.92483,0.00111,0.15385,0.00129,0.00059,3.26467,3.98884,4.31015,0.0008219,0.0008219,0.0008219
121,1223.32,2.37462,2.24119,2.65266,0.00111,0.15385,0.00129,0.00059,3.26467,3.98884,4.31015,0.000812,0.000812,0.000812
122,1239.37,2.42161,2.03031,2.68913,0.00111,0.15385,0.00129,0.00059,3.26467,3.98884,4.31015,0.0008021,0.0008021,0.0008021
123,1253.91,2.44598,2.08114,2.87267,0.00111,0.15385,0.00129,0.00059,3.26467,3.98884,4.31015,0.0007922,0.0007922,0.0007922
124,1259.85,2.50454,2.2797,2.90208,0.00117,0.15385,0.00103,0.00044,3.23227,3.98785,4.32165,0.0007823,0.0007823,0.0007823
125,1270.05,2.32838,2.08955,2.7141,0.00117,0.15385,0.00103,0.00044,3.23227,3.98785,4.32165,0.0007724,0.0007724,0.0007724
126,1281.15,2.51147,2.00039,2.79213,0.00117,0.15385,0.00103,0.00044,3.23227,3.98785,4.32165,0.0007625,0.0007625,0.0007625
127,1294.7,2.24473,2.14346,2.66976,0.00117,0.15385,0.00103,0.00044,3.23227,3.98785,4.32165,0.0007526,0.0007526,0.0007526
128,1302.08,2.40829,2.05248,2.79,0.0019,0.23077,0.00152,0.0006,3.04557,3.92577,4.25031,0.0007427,0.0007427,0.0007427
129,1321.24,2.17884,2.00054,2.73736,0.0019,0.23077,0.00152,0.0006,3.04557,3.92577,4.25031,0.0007328,0.0007328,0.0007328
130,1326.41,2.38414,2.2763,3.04726,0.0019,0.23077,0.00152,0.0006,3.04557,3.92577,4.25031,0.0007229,0.0007229,0.0007229
131,1332.69,2.32916,1.88494,2.67546,0.0019,0.23077,0.00152,0.0006,3.04557,3.92577,4.25031,0.000713,0.000713,0.000713
132,1352.05,2.18794,1.84633,2.61463,0.00167,0.23077,0.00133,0.0005,2.92123,3.89106,4.14846,0.0007031,0.0007031,0.0007031
133,1360,2.33266,2.05703,2.64536,0.00167,0.23077,0.00133,0.0005,2.92123,3.89106,4.14846,0.0006932,0.0006932,0.0006932
134,1365.51,2.6008,2.17231,2.94433,0.00167,0.23077,0.00133,0.0005,2.92123,3.89106,4.14846,0.0006833,0.0006833,0.0006833
135,1377.33,2.45865,2.12269,2.83974,0.00167,0.23077,0.00133,0.0005,2.92123,3.89106,4.14846,0.0006734,0.0006734,0.0006734
136,1388.04,2.21848,1.80408,2.62443,0.00222,0.30769,0.00178,0.0007,2.88631,3.93363,4.05998,0.0006635,0.0006635,0.0006635
137,1399.72,2.28877,2.10415,2.79055,0.00222,0.30769,0.00178,0.0007,2.88631,3.93363,4.05998,0.0006536,0.0006536,0.0006536
138,1410.57,2.13961,1.93635,2.68677,0.00222,0.30769,0.00178,0.0007,2.88631,3.93363,4.05998,0.0006437,0.0006437,0.0006437
139,1420.15,2.0618,1.86667,2.49165,0.00222,0.30769,0.00178,0.0007,2.88631,3.93363,4.05998,0.0006338,0.0006338,0.0006338
140,1436.02,2.27261,1.70324,2.46878,0.00167,0.23077,0.00179,0.00057,2.91515,4.14683,3.97016,0.0006239,0.0006239,0.0006239
141,1456.38,2.05144,1.98982,2.39952,0.00167,0.23077,0.00179,0.00057,2.91515,4.14683,3.97016,0.000614,0.000614,0.000614
142,1464.5,2.32315,1.94423,2.5673,0.00167,0.23077,0.00179,0.00057,2.91515,4.14683,3.97016,0.0006041,0.0006041,0.0006041
143,1472.31,2.0262,1.69628,2.50135,0.00167,0.23077,0.00179,0.00057,2.91515,4.14683,3.97016,0.0005942,0.0005942,0.0005942
144,1487.21,2.11511,1.79234,2.53259,0.00333,0.46154,0.03266,0.00645,2.84892,3.92513,3.79082,0.0005843,0.0005843,0.0005843
145,1505.57,2.17403,1.6558,2.36487,0.00333,0.46154,0.03266,0.00645,2.84892,3.92513,3.79082,0.0005744,0.0005744,0.0005744
146,1527.38,2.13423,1.95621,2.52157,0.00333,0.46154,0.03266,0.00645,2.84892,3.92513,3.79082,0.0005645,0.0005645,0.0005645
147,1548.77,2.28201,1.90565,2.65495,0.00333,0.46154,0.03266,0.00645,2.84892,3.92513,3.79082,0.0005546,0.0005546,0.0005546
148,1563.32,2.31564,1.80656,2.60757,0.07343,0.0794,0.13085,0.03713,2.74078,3.61871,3.60786,0.0005447,0.0005447,0.0005447
149,1586.01,2.05008,1.7062,2.35134,0.07343,0.0794,0.13085,0.03713,2.74078,3.61871,3.60786,0.0005348,0.0005348,0.0005348
150,1605.82,1.97314,1.73008,2.38571,0.07343,0.0794,0.13085,0.03713,2.74078,3.61871,3.60786,0.0005249,0.0005249,0.0005249
151,1618.24,2.01899,1.90219,2.49916,0.07343,0.0794,0.13085,0.03713,2.74078,3.61871,3.60786,0.000515,0.000515,0.000515
152,1638.47,2.03657,1.75825,2.45243,0.08863,0.07692,0.15486,0.05528,2.698,3.22049,3.50432,0.0005051,0.0005051,0.0005051
153,1661.25,2.19521,1.78908,2.50902,0.08863,0.07692,0.15486,0.05528,2.698,3.22049,3.50432,0.0004952,0.0004952,0.0004952
154,1685.96,2.11183,1.46042,2.31892,0.08863,0.07692,0.15486,0.05528,2.698,3.22049,3.50432,0.0004853,0.0004853,0.0004853
155,1694.39,2.2651,1.99658,2.74427,0.08863,0.07692,0.15486,0.05528,2.698,3.22049,3.50432,0.0004754,0.0004754,0.0004754
156,1718.96,2.17739,1.76085,2.55558,0.2058,0.15385,0.2149,0.06865,2.62649,2.99668,3.40935,0.0004655,0.0004655,0.0004655
157,1730.22,2.20032,1.71396,2.47214,0.2058,0.15385,0.2149,0.06865,2.62649,2.99668,3.40935,0.0004556,0.0004556,0.0004556
